,Networks,Percentage of nodes removed,Number of Connected Components,largest_component/N,Diameter,avg shortes path,Average Clustering Coefficient,avg Degress
48,"Microservice, Nodes 500 seed 469",40%,1,1,8,3.971438878,0.071768076,0.01755511
49,"Microservice, Nodes 500 seed 469",50%,2,0.84,7,3.61494488,0.055754113,0.014629259
50,"Microservice, Nodes 1000 seed 962",10%,1,1,5,2.918258258,0.087345558,0.017697698
51,"Microservice, Nodes 1000 seed 962",20%,1,1,6,3.17365966,0.077822926,0.015927928
52,"Microservice, Nodes 1000 seed 962",30%,1,1,6,3.305707708,0.063580051,0.014158158
53,"Microservice, Nodes 1000 seed 962",40%,1,1,7,3.551627628,0.054178465,0.012388388
54,"Microservice, Nodes 1000 seed 962",50%,1,1,7,3.753547548,0.044570577,0.010618619
55,"Microservice, Nodes 10000 seed 6516",10%,1,1,8,4.358441333,0.000173482,0.000828911
56,"Microservice, Nodes 10000 seed 6516",20%,1,1,8,4.627224859,0,0.00073681
57,"Microservice, Nodes 10000 seed 6516",30%,1,1,8,4.832212693,0,0.000644709
58,"Microservice, Nodes 10000 seed 6516",40%,62,0.989709852,8,5.130093014,0,0.000552607
59,"Microservice, Nodes 10000 seed 6516",50%,203,0.928137652,8,5.643513809,0,0.000460506
